,prompt,completion
242,"date=2/1/2004, spcpi=1, spcpi_m_s=2, spcpi_m_fe=1, spcpi_m_fes=2, trim_mean_pce=2, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=2, fpcpi_m_fe=0->",0
243,"date=3/1/2004, spcpi=1, spcpi_m_s=3, spcpi_m_fe=1, spcpi_m_fes=3, trim_mean_pce=2, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=2, fpcpi_m_fe=0->",0
244,"date=4/1/2004, spcpi=2, spcpi_m_s=3, spcpi_m_fe=2, spcpi_m_fes=3, trim_mean_pce=3, sixteenP_trim_mean_cpi=1, median_cpi=0, fpcpi=4, fpcpi_m_fe=1->",1
245,"date=5/1/2004, spcpi=1, spcpi_m_s=3, spcpi_m_fe=1, spcpi_m_fes=3, trim_mean_pce=3, sixteenP_trim_mean_cpi=2, median_cpi=1, fpcpi=6, fpcpi_m_fe=1->",1
246,"date=6/1/2004, spcpi=2, spcpi_m_s=3, spcpi_m_fe=2, spcpi_m_fes=3, trim_mean_pce=4, sixteenP_trim_mean_cpi=2, median_cpi=2, fpcpi=6, fpcpi_m_fe=0->",0
247,"date=7/1/2004, spcpi=2, spcpi_m_s=2, spcpi_m_fe=2, spcpi_m_fes=2, trim_mean_pce=4, sixteenP_trim_mean_cpi=2, median_cpi=1, fpcpi=5, fpcpi_m_fe=0->",0
248,"date=8/1/2004, spcpi=2, spcpi_m_s=2, spcpi_m_fe=2, spcpi_m_fes=2, trim_mean_pce=3, sixteenP_trim_mean_cpi=2, median_cpi=1, fpcpi=5, fpcpi_m_fe=0->",0
249,"date=9/1/2004, spcpi=2, spcpi_m_s=2, spcpi_m_fe=1, spcpi_m_fes=2, trim_mean_pce=3, sixteenP_trim_mean_cpi=2, median_cpi=1, fpcpi=4, fpcpi_m_fe=3->",3
250,"date=10/1/2004, spcpi=2, spcpi_m_s=3, spcpi_m_fe=1, spcpi_m_fes=2, trim_mean_pce=3, sixteenP_trim_mean_cpi=2, median_cpi=2, fpcpi=6, fpcpi_m_fe=4->",4
251,"date=11/1/2004, spcpi=2, spcpi_m_s=3, spcpi_m_fe=2, spcpi_m_fes=3, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=2, fpcpi=6, fpcpi_m_fe=5->",5
252,"date=12/1/2004, spcpi=2, spcpi_m_s=3, spcpi_m_fe=2, spcpi_m_fes=3, trim_mean_pce=4, sixteenP_trim_mean_cpi=3, median_cpi=2, fpcpi=6, fpcpi_m_fe=5->",5
253,"date=1/1/2005, spcpi=2, spcpi_m_s=3, spcpi_m_fe=2, spcpi_m_fes=3, trim_mean_pce=4, sixteenP_trim_mean_cpi=3, median_cpi=2, fpcpi=5, fpcpi_m_fe=5->",5
254,"date=2/1/2005, spcpi=2, spcpi_m_s=2, spcpi_m_fe=2, spcpi_m_fes=2, trim_mean_pce=4, sixteenP_trim_mean_cpi=3, median_cpi=2, fpcpi=6, fpcpi_m_fe=5->",5
255,"date=3/1/2005, spcpi=2, spcpi_m_s=2, spcpi_m_fe=1, spcpi_m_fes=2, trim_mean_pce=4, sixteenP_trim_mean_cpi=3, median_cpi=2, fpcpi=6, fpcpi_m_fe=5->",5
256,"date=4/1/2005, spcpi=2, spcpi_m_s=3, spcpi_m_fe=1, spcpi_m_fes=2, trim_mean_pce=4, sixteenP_trim_mean_cpi=3, median_cpi=2, fpcpi=6, fpcpi_m_fe=5->",5
257,"date=5/1/2005, spcpi=2, spcpi_m_s=3, spcpi_m_fe=2, spcpi_m_fes=3, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=2, fpcpi=5, fpcpi_m_fe=4->",4
258,"date=6/1/2005, spcpi=1, spcpi_m_s=3, spcpi_m_fe=1, spcpi_m_fes=2, trim_mean_pce=3, sixteenP_trim_mean_cpi=2, median_cpi=1, fpcpi=5, fpcpi_m_fe=4->",4
259,"date=7/1/2005, spcpi=2, spcpi_m_s=3, spcpi_m_fe=2, spcpi_m_fes=3, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=2, fpcpi=6, fpcpi_m_fe=4->",4
260,"date=8/1/2005, spcpi=2, spcpi_m_s=3, spcpi_m_fe=2, spcpi_m_fes=3, trim_mean_pce=4, sixteenP_trim_mean_cpi=3, median_cpi=2, fpcpi=7, fpcpi_m_fe=5->",5
261,"date=9/1/2005, spcpi=2, spcpi_m_s=3, spcpi_m_fe=2, spcpi_m_fes=3, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=2, fpcpi=7, fpcpi_m_fe=2->",2
262,"date=10/1/2005, spcpi=2, spcpi_m_s=3, spcpi_m_fe=2, spcpi_m_fes=3, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=3, fpcpi=7, fpcpi_m_fe=3->",3
263,"date=11/1/2005, spcpi=2, spcpi_m_s=3, spcpi_m_fe=2, spcpi_m_fes=3, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=3, fpcpi=7, fpcpi_m_fe=3->",3
264,"date=12/1/2005, spcpi=2, spcpi_m_s=3, spcpi_m_fe=2, spcpi_m_fes=4, trim_mean_pce=4, sixteenP_trim_mean_cpi=3, median_cpi=3, fpcpi=6, fpcpi_m_fe=3->",3
265,"date=1/1/2006, spcpi=2, spcpi_m_s=3, spcpi_m_fe=2, spcpi_m_fes=3, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=3, fpcpi=7, fpcpi_m_fe=3->",3
266,"date=2/1/2006, spcpi=3, spcpi_m_s=4, spcpi_m_fe=3, spcpi_m_fes=4, trim_mean_pce=4, sixteenP_trim_mean_cpi=3, median_cpi=3, fpcpi=7, fpcpi_m_fe=3->",3
267,"date=3/1/2006, spcpi=3, spcpi_m_s=4, spcpi_m_fe=3, spcpi_m_fes=4, trim_mean_pce=4, sixteenP_trim_mean_cpi=3, median_cpi=3, fpcpi=7, fpcpi_m_fe=2->",2
268,"date=4/1/2006, spcpi=3, spcpi_m_s=4, spcpi_m_fe=3, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=3, median_cpi=3, fpcpi=7, fpcpi_m_fe=3->",3
269,"date=5/1/2006, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=3, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=4, fpcpi=7, fpcpi_m_fe=4->",4
270,"date=6/1/2006, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=7, fpcpi_m_fe=4->",4
271,"date=7/1/2006, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=7, fpcpi_m_fe=4->",4
272,"date=8/1/2006, spcpi=5, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=4, trim_mean_pce=6, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=7, fpcpi_m_fe=4->",4
273,"date=9/1/2006, spcpi=5, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=2, fpcpi_m_fe=5->",5
274,"date=10/1/2006, spcpi=5, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=1, fpcpi_m_fe=3->",3
275,"date=11/1/2006, spcpi=5, spcpi_m_s=3, spcpi_m_fe=4, spcpi_m_fes=3, trim_mean_pce=5, sixteenP_trim_mean_cpi=3, median_cpi=5, fpcpi=1, fpcpi_m_fe=2->",2
276,"date=12/1/2006, spcpi=4, spcpi_m_s=2, spcpi_m_fe=4, spcpi_m_fes=2, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=3, fpcpi_m_fe=3->",3
277,"date=1/1/2007, spcpi=5, spcpi_m_s=3, spcpi_m_fe=4, spcpi_m_fes=2, trim_mean_pce=5, sixteenP_trim_mean_cpi=3, median_cpi=5, fpcpi=1, fpcpi_m_fe=2->",2
278,"date=2/1/2007, spcpi=5, spcpi_m_s=3, spcpi_m_fe=5, spcpi_m_fes=3, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=6, fpcpi=3, fpcpi_m_fe=3->",3
279,"date=3/1/2007, spcpi=4, spcpi_m_s=3, spcpi_m_fe=4, spcpi_m_fes=2, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=6, fpcpi=4, fpcpi_m_fe=1->",1
280,"date=4/1/2007, spcpi=4, spcpi_m_s=3, spcpi_m_fe=4, spcpi_m_fes=2, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=4, fpcpi_m_fe=1->",1
281,"date=5/1/2007, spcpi=4, spcpi_m_s=2, spcpi_m_fe=4, spcpi_m_fes=2, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=5, fpcpi_m_fe=1->",1
282,"date=6/1/2007, spcpi=3, spcpi_m_s=2, spcpi_m_fe=3, spcpi_m_fes=2, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=5, fpcpi_m_fe=1->",1
283,"date=7/1/2007, spcpi=3, spcpi_m_s=2, spcpi_m_fe=3, spcpi_m_fes=2, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=3, fpcpi_m_fe=2->",2
284,"date=8/1/2007, spcpi=3, spcpi_m_s=2, spcpi_m_fe=2, spcpi_m_fes=1, trim_mean_pce=4, sixteenP_trim_mean_cpi=3, median_cpi=4, fpcpi=2, fpcpi_m_fe=2->",2
285,"date=9/1/2007, spcpi=3, spcpi_m_s=3, spcpi_m_fe=2, spcpi_m_fes=2, trim_mean_pce=4, sixteenP_trim_mean_cpi=3, median_cpi=5, fpcpi=5, fpcpi_m_fe=2->",2
286,"date=10/1/2007, spcpi=3, spcpi_m_s=3, spcpi_m_fe=3, spcpi_m_fes=2, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=6, fpcpi_m_fe=2->",2
287,"date=11/1/2007, spcpi=4, spcpi_m_s=4, spcpi_m_fe=3, spcpi_m_fes=3, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=7, fpcpi_m_fe=3->",3
288,"date=12/1/2007, spcpi=4, spcpi_m_s=4, spcpi_m_fe=3, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=7, fpcpi_m_fe=4->",4
289,"date=1/1/2008, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=7, fpcpi_m_fe=4->",4
290,"date=2/1/2008, spcpi=3, spcpi_m_s=4, spcpi_m_fe=3, spcpi_m_fes=4, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=7, fpcpi_m_fe=3->",3
291,"date=3/1/2008, spcpi=4, spcpi_m_s=4, spcpi_m_fe=3, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=7, fpcpi_m_fe=4->",4
292,"date=4/1/2008, spcpi=4, spcpi_m_s=4, spcpi_m_fe=3, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=6, fpcpi_m_fe=2->",2
293,"date=5/1/2008, spcpi=4, spcpi_m_s=5, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=7, fpcpi_m_fe=2->",2
294,"date=6/1/2008, spcpi=4, spcpi_m_s=5, spcpi_m_fe=4, spcpi_m_fes=5, trim_mean_pce=5, sixteenP_trim_mean_cpi=6, median_cpi=5, fpcpi=7, fpcpi_m_fe=1->",1
295,"date=7/1/2008, spcpi=5, spcpi_m_s=5, spcpi_m_fe=4, spcpi_m_fes=5, trim_mean_pce=5, sixteenP_trim_mean_cpi=6, median_cpi=5, fpcpi=7, fpcpi_m_fe=1->",1
296,"date=8/1/2008, spcpi=5, spcpi_m_s=5, spcpi_m_fe=4, spcpi_m_fes=5, trim_mean_pce=5, sixteenP_trim_mean_cpi=6, median_cpi=5, fpcpi=7, fpcpi_m_fe=1->",1
297,"date=9/1/2008, spcpi=5, spcpi_m_s=5, spcpi_m_fe=4, spcpi_m_fes=5, trim_mean_pce=5, sixteenP_trim_mean_cpi=6, median_cpi=5, fpcpi=7, fpcpi_m_fe=0->",0
298,"date=10/1/2008, spcpi=4, spcpi_m_s=5, spcpi_m_fe=4, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=6, fpcpi_m_fe=0->",0
299,"date=11/1/2008, spcpi=4, spcpi_m_s=5, spcpi_m_fe=4, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=1, fpcpi_m_fe=0->",0
300,"date=12/1/2008, spcpi=4, spcpi_m_s=5, spcpi_m_fe=3, spcpi_m_fes=4, trim_mean_pce=3, sixteenP_trim_mean_cpi=4, median_cpi=3, fpcpi=0, fpcpi_m_fe=0->",0
301,"date=1/1/2009, spcpi=3, spcpi_m_s=5, spcpi_m_fe=3, spcpi_m_fes=4, trim_mean_pce=3, sixteenP_trim_mean_cpi=4, median_cpi=3, fpcpi=0, fpcpi_m_fe=0->",0
302,"date=2/1/2009, spcpi=3, spcpi_m_s=5, spcpi_m_fe=3, spcpi_m_fes=4, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=2, fpcpi=0, fpcpi_m_fe=0->",0
303,"date=3/1/2009, spcpi=3, spcpi_m_s=4, spcpi_m_fe=2, spcpi_m_fes=4, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=2, fpcpi=0, fpcpi_m_fe=0->",0
304,"date=4/1/2009, spcpi=3, spcpi_m_s=4, spcpi_m_fe=2, spcpi_m_fes=4, trim_mean_pce=3, sixteenP_trim_mean_cpi=2, median_cpi=2, fpcpi=0, fpcpi_m_fe=1->",1
305,"date=5/1/2009, spcpi=2, spcpi_m_s=4, spcpi_m_fe=2, spcpi_m_fes=3, trim_mean_pce=2, sixteenP_trim_mean_cpi=1, median_cpi=1, fpcpi=0, fpcpi_m_fe=1->",1
306,"date=6/1/2009, spcpi=1, spcpi_m_s=3, spcpi_m_fe=1, spcpi_m_fes=2, trim_mean_pce=2, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=0, fpcpi_m_fe=1->",1
307,"date=7/1/2009, spcpi=0, spcpi_m_s=2, spcpi_m_fe=0, spcpi_m_fes=2, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=0, fpcpi_m_fe=1->",1
308,"date=8/1/2009, spcpi=0, spcpi_m_s=2, spcpi_m_fe=0, spcpi_m_fes=1, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=0, fpcpi_m_fe=1->",1
309,"date=9/1/2009, spcpi=0, spcpi_m_s=2, spcpi_m_fe=0, spcpi_m_fes=1, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=0, fpcpi_m_fe=3->",3
310,"date=10/1/2009, spcpi=0, spcpi_m_s=1, spcpi_m_fe=0, spcpi_m_fes=1, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=0, fpcpi_m_fe=5->",5
311,"date=11/1/2009, spcpi=0, spcpi_m_s=1, spcpi_m_fe=0, spcpi_m_fes=2, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=5, fpcpi_m_fe=6->",6
312,"date=12/1/2009, spcpi=0, spcpi_m_s=1, spcpi_m_fe=0, spcpi_m_fes=2, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=7, fpcpi_m_fe=7->",7
313,"date=1/1/2010, spcpi=0, spcpi_m_s=1, spcpi_m_fe=0, spcpi_m_fes=2, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=7, fpcpi_m_fe=7->",7
314,"date=2/1/2010, spcpi=0, spcpi_m_s=1, spcpi_m_fe=0, spcpi_m_fes=1, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=6, fpcpi_m_fe=6->",6
315,"date=3/1/2010, spcpi=0, spcpi_m_s=1, spcpi_m_fe=0, spcpi_m_fes=1, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=7, fpcpi_m_fe=6->",6
316,"date=4/1/2010, spcpi=0, spcpi_m_s=1, spcpi_m_fe=0, spcpi_m_fes=1, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=6, fpcpi_m_fe=5->",5
317,"date=5/1/2010, spcpi=0, spcpi_m_s=1, spcpi_m_fe=0, spcpi_m_fes=1, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=6, fpcpi_m_fe=5->",5
318,"date=6/1/2010, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=1, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=3, fpcpi_m_fe=5->",5
319,"date=7/1/2010, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=1, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=4, fpcpi_m_fe=5->",5
320,"date=8/1/2010, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=1, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=4, fpcpi_m_fe=5->",5
321,"date=9/1/2010, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=0, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=4, fpcpi_m_fe=5->",5
322,"date=10/1/2010, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=0, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=4, fpcpi_m_fe=4->",4
323,"date=11/1/2010, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=0, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=3, fpcpi_m_fe=3->",3
324,"date=12/1/2010, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=0, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=5, fpcpi_m_fe=3->",3
325,"date=1/1/2011, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=0, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=5, fpcpi_m_fe=3->",3
326,"date=2/1/2011, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=1, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=5, fpcpi_m_fe=3->",3
327,"date=3/1/2011, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=1, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=6, fpcpi_m_fe=4->",4
328,"date=4/1/2011, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=0, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=7, fpcpi_m_fe=4->",4
329,"date=5/1/2011, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=0, trim_mean_pce=0, sixteenP_trim_mean_cpi=1, median_cpi=0, fpcpi=7, fpcpi_m_fe=5->",5
330,"date=6/1/2011, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=0, trim_mean_pce=0, sixteenP_trim_mean_cpi=2, median_cpi=0, fpcpi=7, fpcpi_m_fe=6->",6
331,"date=7/1/2011, spcpi=0, spcpi_m_s=1, spcpi_m_fe=0, spcpi_m_fes=1, trim_mean_pce=1, sixteenP_trim_mean_cpi=2, median_cpi=0, fpcpi=7, fpcpi_m_fe=6->",6
332,"date=8/1/2011, spcpi=0, spcpi_m_s=1, spcpi_m_fe=0, spcpi_m_fes=1, trim_mean_pce=1, sixteenP_trim_mean_cpi=3, median_cpi=0, fpcpi=7, fpcpi_m_fe=6->",6
333,"date=9/1/2011, spcpi=0, spcpi_m_s=2, spcpi_m_fe=0, spcpi_m_fes=1, trim_mean_pce=2, sixteenP_trim_mean_cpi=3, median_cpi=0, fpcpi=7, fpcpi_m_fe=6->",6
334,"date=10/1/2011, spcpi=0, spcpi_m_s=2, spcpi_m_fe=0, spcpi_m_fes=2, trim_mean_pce=2, sixteenP_trim_mean_cpi=3, median_cpi=1, fpcpi=7, fpcpi_m_fe=6->",6
335,"date=11/1/2011, spcpi=0, spcpi_m_s=2, spcpi_m_fe=0, spcpi_m_fes=2, trim_mean_pce=2, sixteenP_trim_mean_cpi=4, median_cpi=1, fpcpi=7, fpcpi_m_fe=6->",6
336,"date=12/1/2011, spcpi=1, spcpi_m_s=3, spcpi_m_fe=1, spcpi_m_fes=3, trim_mean_pce=3, sixteenP_trim_mean_cpi=4, median_cpi=1, fpcpi=6, fpcpi_m_fe=6->",6
337,"date=1/1/2012, spcpi=1, spcpi_m_s=3, spcpi_m_fe=1, spcpi_m_fes=3, trim_mean_pce=3, sixteenP_trim_mean_cpi=4, median_cpi=2, fpcpi=6, fpcpi_m_fe=6->",6
338,"date=2/1/2012, spcpi=1, spcpi_m_s=2, spcpi_m_fe=0, spcpi_m_fes=2, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=1, fpcpi=6, fpcpi_m_fe=5->",5
339,"date=3/1/2012, spcpi=1, spcpi_m_s=3, spcpi_m_fe=1, spcpi_m_fes=3, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=1, fpcpi=5, fpcpi_m_fe=5->",5
340,"date=4/1/2012, spcpi=1, spcpi_m_s=3, spcpi_m_fe=1, spcpi_m_fes=3, trim_mean_pce=2, sixteenP_trim_mean_cpi=3, median_cpi=1, fpcpi=3, fpcpi_m_fe=6->",6
341,"date=5/1/2012, spcpi=1, spcpi_m_s=2, spcpi_m_fe=1, spcpi_m_fes=3, trim_mean_pce=2, sixteenP_trim_mean_cpi=2, median_cpi=1, fpcpi=1, fpcpi_m_fe=5->",5
342,"date=6/1/2012, spcpi=1, spcpi_m_s=3, spcpi_m_fe=1, spcpi_m_fes=3, trim_mean_pce=2, sixteenP_trim_mean_cpi=2, median_cpi=1, fpcpi=1, fpcpi_m_fe=5->",5
343,"date=7/1/2012, spcpi=2, spcpi_m_s=3, spcpi_m_fe=2, spcpi_m_fes=3, trim_mean_pce=2, sixteenP_trim_mean_cpi=1, median_cpi=1, fpcpi=1, fpcpi_m_fe=4->",4
344,"date=8/1/2012, spcpi=1, spcpi_m_s=3, spcpi_m_fe=1, spcpi_m_fes=3, trim_mean_pce=1, sixteenP_trim_mean_cpi=1, median_cpi=1, fpcpi=1, fpcpi_m_fe=3->",3
345,"date=9/1/2012, spcpi=1, spcpi_m_s=3, spcpi_m_fe=1, spcpi_m_fes=3, trim_mean_pce=1, sixteenP_trim_mean_cpi=1, median_cpi=1, fpcpi=2, fpcpi_m_fe=3->",3
346,"date=10/1/2012, spcpi=1, spcpi_m_s=2, spcpi_m_fe=1, spcpi_m_fes=3, trim_mean_pce=1, sixteenP_trim_mean_cpi=1, median_cpi=1, fpcpi=3, fpcpi_m_fe=3->",3
347,"date=11/1/2012, spcpi=1, spcpi_m_s=2, spcpi_m_fe=1, spcpi_m_fes=3, trim_mean_pce=1, sixteenP_trim_mean_cpi=1, median_cpi=1, fpcpi=2, fpcpi_m_fe=2->",2
348,"date=12/1/2012, spcpi=1, spcpi_m_s=2, spcpi_m_fe=1, spcpi_m_fes=2, trim_mean_pce=0, sixteenP_trim_mean_cpi=1, median_cpi=1, fpcpi=2, fpcpi_m_fe=3->",3
349,"date=1/1/2013, spcpi=1, spcpi_m_s=2, spcpi_m_fe=1, spcpi_m_fes=2, trim_mean_pce=0, sixteenP_trim_mean_cpi=1, median_cpi=0, fpcpi=2, fpcpi_m_fe=4->",4
350,"date=2/1/2013, spcpi=1, spcpi_m_s=2, spcpi_m_fe=1, spcpi_m_fes=2, trim_mean_pce=0, sixteenP_trim_mean_cpi=1, median_cpi=1, fpcpi=3, fpcpi_m_fe=4->",4
351,"date=3/1/2013, spcpi=1, spcpi_m_s=2, spcpi_m_fe=1, spcpi_m_fes=2, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=1, fpcpi_m_fe=2->",2
352,"date=4/1/2013, spcpi=0, spcpi_m_s=1, spcpi_m_fe=0, spcpi_m_fes=1, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=1, fpcpi_m_fe=2->",2
353,"date=5/1/2013, spcpi=0, spcpi_m_s=1, spcpi_m_fe=0, spcpi_m_fes=1, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=1, fpcpi_m_fe=1->",1
354,"date=6/1/2013, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=0, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=2, fpcpi_m_fe=1->",1
355,"date=7/1/2013, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=0, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=3, fpcpi_m_fe=3->",3
356,"date=8/1/2013, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=0, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=2, fpcpi_m_fe=3->",3
357,"date=9/1/2013, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=0, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=1, fpcpi_m_fe=3->",3
358,"date=10/1/2013, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=0, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=0, fpcpi_m_fe=2->",2
359,"date=11/1/2013, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=0, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=1, fpcpi_m_fe=3->",3
360,"date=12/1/2013, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=0, trim_mean_pce=1, sixteenP_trim_mean_cpi=0, median_cpi=1, fpcpi=2, fpcpi_m_fe=3->",3
361,"date=1/1/2014, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=0, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=2, fpcpi_m_fe=2->",2
362,"date=2/1/2014, spcpi=0, spcpi_m_s=0, spcpi_m_fe=0, spcpi_m_fes=0, trim_mean_pce=0, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=1, fpcpi_m_fe=1->",1
